Shape;Carat;Color;Clarity;Cut;Price
Princess;0.30;I;SI1;Ideal;383
Emerald;0.31;F;SI2;Excellent;383
Emerald;0.32;I;SI1;Ideal;385
Emerald;0.30;G;SI1;Very Good;385
Emerald;0.31;G;SI2;Ideal;385
Heart;0.30;I;SI2;Ideal;385
Emerald;0.31;J;VS2;Excellent;385
Emerald;0.30;J;VS2;Very Good;385
Emerald;0.30;H;SI1;Ideal;385
Pear;0.34;I;VS2;Excellent;386
Emerald;0.32;J;VVS2;Very Good;386
Emerald;0.30;G;SI1;Excellent;386
Emerald;0.30;I;SI1;Excellent;386
Marquise;0.30;I;SI1;Ideal;388
Marquise;0.30;I;SI1;Ideal;388
Emerald;0.31;I;VS1;Excellent;388
Pear;0.25;I;SI1;Ideal;388
Emerald;0.30;E;SI1;Excellent;388
Princess;0.30;I;SI1;Excellent;388
Emerald;0.30;H;SI2;Excellent;388
Oval;0.30;J;VS2;Ideal;388
Emerald;0.31;J;VS2;Excellent;388
Emerald;0.30;G;SI2;Ideal;388
Pear;0.30;I;SI2;Ideal;388
Emerald;0.31;I;VS1;Excellent;389
Emerald;0.30;G;SI1;Very Good;389
Princess;0.30;I;VS2;Ideal;389
Pear;0.30;G;SI2;Very Good;389
Emerald;0.30;E;SI2;Very Good;391
Emerald;0.30;E;SI1;Ideal;391
Emerald;0.32;E;SI2;Ideal;391
Emerald;0.30;I;SI1;Very Good;391
Emerald;0.30;J;VS2;Excellent;391
Heart;0.30;J;VS2;Ideal;392
Heart;0.31;I;SI1;Ideal;392
Emerald;0.30;H;SI2;Ideal;392
Heart;0.30;I;SI1;Ideal;392
Emerald;0.30;H;SI1;Good;392
Heart;0.30;I;SI1;Excellent;392
Emerald;0.30;E;SI1;Excellent;392
Emerald;0.30;H;SI1;Very Good;392
Emerald;0.32;G;SI2;Very Good;392
Emerald;0.30;G;SI1;Ideal;392
Marquise;0.30;K;VVS1;Ideal;394
Emerald;0.31;H;SI1;Ideal;394
Princess;0.30;I;SI1;Ideal;394
Emerald;0.31;F;SI1;Good;394
Emerald;0.33;F;SI1;Ideal;394
Emerald;0.30;D;SI1;Ideal;394
Emerald;0.30;F;SI2;Excellent;394
Pear;0.30;I;VS2;Ideal;395
Emerald;0.33;G;SI2;Very Good;395
Emerald;0.26;G;SI1;Ideal;395
Emerald;0.30;G;SI1;Very Good;395
Heart;0.30;J;VS2;Ideal;395
Cushion;0.34;K;SI1;Excellent;395
Emerald;0.32;I;SI2;Excellent;395
Pear;0.30;H;SI1;Ideal;395
Emerald;0.30;E;SI1;Excellent;395
Emerald;0.30;F;SI2;Excellent;397
Emerald;0.32;G;SI2;Very Good;397
Princess;0.30;I;VS1;Excellent;397
Emerald;0.31;E;SI1;Very Good;397
Emerald;0.31;F;SI2;Ideal;397
Emerald;0.31;I;VS1;Very Good;397
Emerald;0.32;J;VVS2;Ideal;398
Emerald;0.34;K;VS2;Very Good;398
Heart;0.29;G;SI1;Ideal;398
Pear;0.40;K;SI1;Very Good;398
Emerald;0.30;I;SI1;Ideal;398
Emerald;0.30;F;SI2;Ideal;398
Princess;0.31;J;VS1;Ideal;398
Heart;0.30;I;SI1;Ideal;400
Pear;0.31;I;VS1;Ideal;400
Emerald;0.30;E;SI1;Very Good;400
Princess;0.30;F;SI2;Ideal;400
Emerald;0.30;F;SI2;Ideal;400
Princess;0.30;I;VS2;Ideal;400
Emerald;0.30;G;SI1;Very Good;400
Marquise;0.31;I;SI1;Excellent;400
Emerald;0.30;E;SI2;Very Good;400
Emerald;0.31;J;VVS2;Ideal;400
Emerald;0.31;G;SI2;Excellent;400
Oval;0.30;K;VVS2;Excellent;400
Emerald;0.30;G;SI1;Excellent;401
Emerald;0.30;E;SI2;Ideal;401
Emerald;0.32;H;SI1;Very Good;401
Emerald;0.30;I;SI1;Excellent;403
Emerald;0.30;E;SI2;Excellent;403
Emerald;0.30;J;VS1;Ideal;404
Pear;0.30;I;VS2;Excellent;404
Emerald;0.31;J;VVS2;Very Good;404
Princess;0.30;I;VS1;Ideal;404
Emerald;0.31;K;VVS1;Excellent;404
Emerald;0.31;D;SI2;Very Good;404
Heart;0.38;I;SI1;Excellent;404
Oval;0.30;I;SI2;Excellent;406
Pear;0.30;G;SI1;Ideal;406
Pear;0.32;J;VVS1;Excellent;406
Emerald;0.31;H;SI2;Excellent;406
Emerald;0.30;F;SI2;Excellent;406
Emerald;0.30;I;VS2;Ideal;406
Pear;0.34;J;VVS2;Excellent;406
Emerald;0.30;F;SI2;Excellent;406
Pear;0.30;E;SI2;Ideal;406
Oval;0.30;I;SI2;Ideal;406
Pear;0.31;E;SI2;Ideal;407
Pear;0.30;E;SI2;Ideal;407
Emerald;0.31;I;VS1;Excellent;407
Heart;0.30;I;VS2;Excellent;407
Emerald;0.40;K;SI1;Very Good;407
Emerald;0.30;D;SI1;Excellent;407
Emerald;0.30;G;SI2;Ideal;407
Emerald;0.30;G;SI2;Ideal;407
Emerald;0.30;E;SI1;Ideal;407
Emerald;0.30;J;VVS1;Very Good;409
Emerald;0.31;K;VVS2;Ideal;409
Heart;0.30;J;VS1;Ideal;409
Pear;0.33;I;SI1;Very Good;409
Emerald;0.32;E;SI1;Ideal;409
Emerald;0.30;H;SI1;Excellent;409
Emerald;0.30;G;SI1;Excellent;409
Emerald;0.30;D;SI1;Excellent;409
