Shape;Carat;Color;Clarity;Cut;Price
Princess;0.46;K;VVS2;Very Good;591
Emerald;0.33;F;VS1;Excellent;591
Emerald;0.33;E;VS1;Very Good;591
Pear;0.31;D;SI1;Ideal;591
Emerald;0.33;H;VS1;Excellent;591
Marquise;0.37;F;SI1;Ideal;591
Heart;0.30;D;VS1;Ideal;591
Pear;0.30;E;SI1;Ideal;593
Emerald;0.33;E;VS2;Excellent;593
Emerald;0.31;F;VS1;Ideal;593
Emerald;0.30;F;VVS2;Ideal;593
Pear;0.30;D;VS1;Excellent;593
Cushion;0.34;F;VS2;Excellent;593
Emerald;0.30;E;SI1;Ideal;593
Emerald;0.30;F;VVS2;Ideal;593
Princess;0.32;D;VVS1;Ideal;593
Cushion;0.30;F;VS1;Excellent;593
Emerald;0.30;F;VVS2;Ideal;593
Radiant;0.30;G;VVS2;Excellent;593
Emerald;0.40;F;SI1;Ideal;593
Emerald;0.31;E;VS2;Ideal;593
Cushion;0.30;G;SI1;Excellent;593
Emerald;0.31;G;VVS2;Ideal;593
Emerald;0.33;D;VS1;Ideal;593
Emerald;0.33;E;VS2;Ideal;593
Emerald;0.39;E;SI1;Ideal;593
Marquise;0.30;E;SI1;Ideal;593
Asscher;0.30;F;VS2;Ideal;593
Pear;0.30;D;VS2;Ideal;593
Princess;0.42;K;VS2;Very Good;593
Oval;0.33;F;SI1;Excellent;593
Pear;0.31;D;VVS1;Ideal;593
Pear;0.31;H;VS2;Ideal;593
Pear;0.30;E;VS2;Ideal;593
Emerald;0.40;K;VS1;Ideal;593
Marquise;0.34;E;VS2;Ideal;593
Pear;0.38;J;VVS1;Excellent;593
Pear;0.30;E;VS2;Ideal;593
Marquise;0.30;G;VS2;Excellent;593
Emerald;0.35;I;VVS1;Ideal;594
Pear;0.31;G;VS2;Ideal;594
Emerald;0.40;D;SI1;Excellent;594
Marquise;0.30;D;SI1;Ideal;594
Oval;0.40;G;SI2;Excellent;594
Emerald;0.30;D;VVS2;Ideal;594
Oval;0.42;J;SI2;Good;594
Pear;0.30;D;SI1;Ideal;594
Heart;0.30;E;VS1;Ideal;594
Pear;0.33;D;SI2;Ideal;594
Pear;0.30;F;VS1;Ideal;594
Oval;0.30;D;VS1;Ideal;594
Emerald;0.50;K;SI1;Very Good;594
Princess;0.30;G;VVS2;Ideal;594
Emerald;0.33;H;VVS1;Ideal;594
Emerald;0.40;G;SI2;Ideal;594
Radiant;0.30;G;VVS1;Very Good;594
Pear;0.31;G;VS2;Ideal;594
Heart;0.40;I;SI1;Ideal;594
Emerald;0.30;G;VVS2;Ideal;594
Pear;0.30;E;VS1;Ideal;595
Emerald;0.43;K;VVS2;Ideal;595
Emerald;0.31;G;VS1;Ideal;595
Pear;0.30;D;VS1;Ideal;595
Marquise;0.30;F;VS2;Ideal;595
Heart;0.31;D;VS2;Ideal;595
Emerald;0.32;F;VS1;Ideal;595
Heart;0.30;E;VS1;Ideal;595
Oval;0.30;D;VS2;Ideal;595
Emerald;0.29;D;VVS2;Ideal;595
Pear;0.30;G;VVS1;Ideal;595
Heart;0.40;D;SI2;Ideal;595
Oval;0.31;D;VS1;Excellent;595
Oval;0.30;D;VS2;Ideal;595
Emerald;0.30;F;VS2;Ideal;595
Emerald;0.31;F;VS1;Ideal;595
Heart;0.31;D;VS1;Ideal;595
Pear;0.42;H;SI2;Ideal;595
Emerald;0.38;F;VS2;Excellent;595
Pear;0.30;E;VS1;Ideal;595
Marquise;0.40;K;VVS2;Ideal;595
Pear;0.30;D;VS2;Ideal;595
Pear;0.31;D;SI1;Ideal;597
Emerald;0.30;E;VS1;Ideal;597
Oval;0.35;D;SI2;Ideal;597
Princess;0.33;E;VS1;Ideal;597
Pear;0.30;F;VS1;Excellent;597
Heart;0.30;E;VS2;Ideal;597
Emerald;0.30;E;VS1;Ideal;597
Heart;0.40;I;SI1;Excellent;597
Cushion;0.50;K;VS1;Excellent;597
Princess;0.30;F;VVS2;Ideal;597
Pear;0.30;G;VVS1;Ideal;597
Heart;0.30;D;VS2;Ideal;597
Oval;0.32;H;VVS2;Ideal;597
Heart;0.30;D;VS1;Ideal;597
Heart;0.29;E;VS2;Ideal;597
Emerald;0.32;D;VVS2;Ideal;597
Emerald;0.30;D;VVS2;Ideal;597
Pear;0.30;F;VS1;Ideal;597
Emerald;0.30;E;VS1;Ideal;597
Emerald;0.30;G;VVS2;Ideal;597
Oval;0.30;D;VS2;Ideal;597
Oval;0.30;D;VS2;Ideal;597
Radiant;0.31;F;VS2;Very Good;597
Emerald;0.31;D;VVS2;Excellent;597
Heart;0.29;D;VS2;Ideal;597
Pear;0.30;D;VS2;Ideal;597
Emerald;0.31;F;VS2;Ideal;597
Emerald;0.32;G;VVS1;Ideal;597
Pear;0.30;D;VS1;Ideal;597
Oval;0.30;F;VS1;Excellent;597
Emerald;0.33;G;VVS1;Ideal;597
Emerald;0.32;E;VVS2;Excellent;597
Princess;0.33;E;VS2;Excellent;597
Emerald;0.33;F;VS1;Excellent;597
Emerald;0.32;D;VVS2;Ideal;597
Emerald;0.34;F;IF;Ideal;597
Emerald;0.36;D;SI1;Ideal;598
Emerald;0.31;F;VVS1;Excellent;598
Cushion;0.40;J;VS2;Excellent;598
Emerald;0.40;J;VS1;Ideal;598
Heart;0.30;E;SI1;Ideal;598
Heart;0.47;J;SI1;Ideal;598
Pear;0.30;F;VVS1;Ideal;598
Emerald;0.40;D;SI2;Excellent;598
Emerald;0.40;F;SI2;Excellent;598
Heart;0.30;D;VS1;Excellent;598
Oval;0.31;D;VS2;Ideal;598
Emerald;0.30;E;VVS2;Ideal;598
Emerald;0.30;F;VVS2;Ideal;598
Cushion;0.50;K;SI1;Excellent;598
Emerald;0.40;J;VS1;Ideal;598
Emerald;0.40;J;VS1;Excellent;598
Emerald;0.30;E;VVS2;Ideal;598
Emerald;0.32;E;VVS1;Excellent;598
Emerald;0.31;E;VVS2;Ideal;598
Emerald;0.30;F;VVS1;Ideal;598
Radiant;0.31;G;VVS1;Excellent;598
Emerald;0.34;F;VVS1;Excellent;598
Princess;0.30;D;VVS2;Excellent;598
Asscher;0.50;K;VS1;Very Good;598
Heart;0.31;H;VS2;Ideal;598
Pear;0.40;H;SI2;Ideal;598
Pear;0.31;D;SI2;Ideal;598
Emerald;0.30;E;VVS2;Ideal;598
Pear;0.40;F;SI2;Excellent;598
Emerald;0.32;D;VS1;Excellent;598
Emerald;0.32;D;VVS1;Good;600
Pear;0.32;F;VVS1;Excellent;600
Pear;0.30;D;VVS1;Ideal;600
Emerald;0.40;I;VS1;Very Good;600
Heart;0.30;E;VVS1;Ideal;600
Emerald;0.32;E;VVS2;Excellent;600
Heart;0.31;E;VS2;Ideal;600
Emerald;0.34;D;VVS2;Very Good;600
Princess;0.30;E;VS2;Excellent;600
Emerald;0.31;E;VVS2;Excellent;600
Pear;0.30;H;VVS1;Ideal;600
Emerald;0.30;D;VVS1;Ideal;600
Oval;0.30;E;VS1;Excellent;600
Heart;0.30;F;VVS2;Ideal;600
Princess;0.30;G;VVS2;Ideal;600
Princess;0.30;E;VS2;Ideal;600
Emerald;0.30;G;VVS1;Excellent;600
Oval;0.32;H;VVS2;Ideal;601
Pear;0.31;E;VS1;Ideal;601
Heart;0.40;H;SI1;Excellent;601
Oval;0.30;G;VS2;Ideal;601
Emerald;0.30;F;VS1;Excellent;601
Oval;0.30;E;VS2;Ideal;601
Heart;0.31;F;VVS2;Ideal;601
Emerald;0.35;E;VVS2;Excellent;601
Princess;0.47;K;VS1;Good;601
Oval;0.34;E;SI1;Ideal;601
Heart;0.30;D;VS2;Ideal;601
Emerald;0.37;F;VS2;Excellent;601
Oval;0.38;D;SI1;Excellent;601
Emerald;0.32;D;VVS2;Ideal;601
Emerald;0.32;F;VS1;Ideal;601
Heart;0.31;E;VS1;Ideal;601
Heart;0.35;I;VS1;Ideal;601
Emerald;0.31;E;VVS2;Ideal;601
Cushion;0.30;H;VVS1;Excellent;601
Pear;0.30;F;VS1;Ideal;601
Radiant;0.34;G;VS1;Ideal;601
Emerald;0.31;H;VVS2;Ideal;601
Pear;0.30;D;VS2;Ideal;601
Oval;0.30;E;VS2;Ideal;601
Heart;0.36;F;SI2;Ideal;601
Oval;0.32;E;VVS2;Excellent;601
Emerald;0.41;D;SI1;Excellent;601
Emerald;0.40;E;SI2;Excellent;601
Emerald;0.41;D;SI2;Ideal;601
Heart;0.30;D;SI1;Ideal;601
Pear;0.54;I;VS1;Ideal;932
Emerald;0.55;F;SI1;Ideal;932
Radiant;0.61;K;VVS1;Very Good;932
Emerald;0.51;J;VVS1;Ideal;932
Princess;0.49;I;VS2;Ideal;932
Radiant;0.51;I;VVS2;Ideal;932
Princess;0.46;I;VVS2;Ideal;932
Heart;0.41;D;VS1;Ideal;932
Cushion;0.50;F;VS2;Ideal;932
Heart;0.52;H;SI2;Ideal;932
Princess;0.47;E;VS2;Good;932
Cushion;0.50;E;SI2;Excellent;932
Cushion;0.50;H;VS2;Excellent;932
Cushion;0.55;I;VS1;Ideal;932
Heart;0.52;F;SI2;Ideal;934
Heart;0.40;D;VS1;Ideal;934
Heart;0.43;G;VVS1;Ideal;934
Emerald;0.50;H;VS2;Ideal;934
Heart;0.43;I;VVS1;Ideal;934
Princess;0.50;J;VS1;Ideal;934
Emerald;0.46;I;VS1;Very Good;934
Radiant;0.50;H;VS2;Very Good;934
Oval;0.50;H;SI1;Ideal;934
Heart;0.40;D;VS2;Ideal;934
Oval;0.50;G;SI2;Ideal;934
Princess;0.50;H;SI1;Ideal;934
Cushion;0.50;G;VS2;Excellent;934
Pear;0.50;J;VS1;Ideal;934
Cushion;0.50;G;VVS2;Excellent;934
Oval;0.50;I;SI1;Ideal;934
Pear;0.50;E;SI2;Ideal;935
Emerald;0.51;D;SI1;Ideal;935
Heart;0.42;D;VS2;Excellent;935
Emerald;0.50;J;VVS1;Ideal;935
Princess;0.50;I;VS2;Ideal;935
Emerald;0.51;J;VVS2;Ideal;935
Heart;0.46;G;VS1;Ideal;935
Cushion;0.53;D;VS2;Ideal;935
Heart;0.42;D;VVS2;Ideal;935
Cushion;0.51;G;VVS2;Ideal;935
Cushion;0.51;F;VS1;Excellent;935
Cushion;0.50;H;VVS2;Ideal;935
Emerald;0.41;F;VVS1;Ideal;935
Cushion;0.51;H;VVS2;Excellent;935
Heart;0.52;F;SI2;Ideal;935
Heart;0.40;D;VS1;Ideal;935
Princess;0.42;F;VVS2;Ideal;935
Oval;0.40;F;VVS1;Ideal;935
Princess;0.50;E;SI1;Ideal;935
Cushion;0.60;I;VS2;Excellent;935
Princess;0.51;H;SI1;Excellent;935
Emerald;0.50;D;SI2;Ideal;935
Emerald;0.50;G;VS2;Ideal;935
Heart;0.40;D;VS1;Ideal;935
Pear;0.51;G;SI2;Ideal;935
Cushion;0.60;J;VS1;Excellent;935
Heart;0.46;G;VS1;Ideal;935
Cushion;0.52;D;VS2;Excellent;935
Heart;0.40;E;VVS2;Ideal;935
Cushion;0.50;F;VS2;Excellent;936
Heart;0.42;D;VS1;Ideal;936
Radiant;0.53;J;VVS2;Excellent;936
Cushion;0.50;G;VS2;Good;936
Emerald;0.50;I;VS1;Ideal;936
Princess;0.61;J;SI1;Excellent;936
Emerald;0.51;H;VS2;Ideal;936
Emerald;0.50;I;VS1;Ideal;936
Emerald;0.51;D;SI2;Ideal;936
Cushion;0.50;G;VS1;Excellent;936
Cushion;0.50;G;VS2;Very Good;936
Oval;0.45;E;VVS1;Good;936
Emerald;0.45;E;VVS2;Ideal;936
Cushion;0.50;I;VVS2;Excellent;936
Emerald;0.51;E;SI1;Ideal;936
Oval;0.55;K;VVS1;Ideal;936
Oval;0.51;I;VVS2;Ideal;936
Marquise;0.52;J;VS2;Ideal;936
Emerald;0.41;E;VVS1;Ideal;936
Emerald;0.45;E;VVS2;Very Good;936
Oval;0.50;I;SI1;Ideal;936
Marquise;0.51;G;SI2;Ideal;936
Emerald;0.50;F;VS2;Excellent;936
Cushion;0.40;D;VVS2;Ideal;936
Pear;0.51;I;VVS2;Ideal;936
Oval;0.50;D;SI2;Ideal;936
Princess;0.50;F;SI1;Ideal;936
Cushion;0.50;G;VS1;Excellent;936
Heart;0.46;F;VS1;Ideal;936
Princess;0.50;F;SI1;Ideal;936
Princess;0.50;J;SI2;Good;936
Heart;0.50;H;VS2;Ideal;936
Cushion;0.50;F;VS2;Excellent;936
Emerald;0.55;E;SI2;Ideal;936
Cushion;0.50;F;VS2;Excellent;936
Marquise;0.55;D;SI1;Excellent;936
Cushion;0.54;I;VVS1;Ideal;936
Pear;0.51;J;IF;Ideal;936
Heart;0.47;F;VS2;Excellent;936
Heart;0.46;E;VVS2;Ideal;937
Cushion;0.52;H;VVS1;Ideal;937
Heart;0.41;F;VVS2;Ideal;937
Oval;0.50;E;SI1;Excellent;937
Marquise;0.41;D;VS2;Ideal;937
Emerald;0.50;G;SI1;Ideal;937
Cushion;0.51;H;VS2;Very Good;937
Pear;0.53;E;SI2;Ideal;937
Marquise;0.51;J;VVS2;Ideal;937
Oval;0.50;I;VVS2;Ideal;937
Princess;0.51;F;SI2;Excellent;937
Princess;0.50;F;SI1;Excellent;937
Oval;0.41;E;VS1;Ideal;937
Princess;0.50;J;VVS2;Good;937
Princess;0.50;J;VVS2;Very Good;937
Oval;0.50;E;SI1;Ideal;937
Emerald;0.50;H;VS2;Excellent;937
Heart;0.46;E;VS2;Ideal;937
Emerald;0.50;H;VS1;Ideal;937
Heart;0.46;H;VVS1;Ideal;937
Emerald;0.50;F;SI1;Ideal;937
Emerald;0.69;K;VS1;Ideal;937
Oval;0.50;F;SI2;Ideal;937
Emerald;0.50;J;VVS1;Ideal;937
Emerald;0.50;F;SI1;Ideal;937
Cushion;0.51;G;VS1;Excellent;937
Oval;0.50;F;SI1;Very Good;937
Emerald;0.50;J;VVS2;Ideal;937
Emerald;0.42;E;VVS2;Ideal;937
Pear;0.40;D;VS1;Ideal;937
Emerald;0.50;J;VS1;Ideal;937
Heart;0.40;D;VVS2;Ideal;937
Emerald;0.50;J;IF;Ideal;937
Cushion;0.50;G;VVS2;Ideal;937
Emerald;0.50;J;VS1;Ideal;937
Emerald;0.50;J;VVS1;Ideal;937
Princess;0.50;I;SI1;Excellent;937
Cushion;0.52;H;VS2;Excellent;937
Emerald;0.50;I;VS2;Ideal;937
Emerald;0.48;G;VS2;Ideal;939
Emerald;0.50;E;SI1;Ideal;939
Princess;0.50;H;SI1;Ideal;939
Cushion;0.47;H;VS1;Very Good;939
Emerald;0.46;F;VVS1;Ideal;939
Cushion;0.70;K;SI1;Excellent;939
Pear;0.40;F;VVS2;Ideal;939
Oval;0.50;E;SI1;Ideal;939
Cushion;0.51;D;VS2;Ideal;939
Emerald;0.52;E;SI1;Ideal;939
Cushion;0.63;J;VS2;Excellent;939
Cushion;0.61;I;VS2;Excellent;939
Pear;0.42;F;VVS2;Ideal;939
Oval;0.51;H;SI1;Ideal;939
Emerald;0.57;J;VS2;Ideal;939
Emerald;0.53;I;SI1;Ideal;939
Heart;0.50;G;SI1;Ideal;939
Oval;0.40;E;VVS2;Excellent;939
Princess;0.51;J;VVS1;Good;939
Marquise;0.55;G;VS2;Very Good;939
Emerald;0.50;H;VS2;Excellent;939
Oval;0.50;F;SI2;Excellent;939
Pear;0.46;E;VS1;Ideal;939
Cushion;0.51;I;VVS1;Ideal;939
Cushion;0.50;F;VS1;Excellent;939
Cushion;0.70;K;SI1;Excellent;939
Emerald;0.50;F;SI1;Ideal;939
Heart;0.50;E;SI1;Excellent;939
Heart;0.51;I;SI1;Ideal;939
Heart;0.40;F;VVS2;Ideal;939
Emerald;0.56;J;VVS2;Ideal;939
Heart;0.40;E;VVS2;Ideal;939
Emerald;0.30;D;VVS2;Ideal;940
Princess;0.41;D;VS1;Ideal;940
Oval;0.40;E;VVS1;Ideal;940
Princess;0.51;F;SI1;Excellent;940
Emerald;0.50;D;SI2;Ideal;940
Pear;0.50;E;SI1;Ideal;940
Cushion;0.50;E;VS2;Very Good;940
Heart;0.40;D;VS2;Ideal;940
Radiant;0.50;E;SI2;Ideal;940
Emerald;0.53;E;SI1;Ideal;940
Pear;0.51;F;SI1;Ideal;940
Pear;0.55;J;VVS1;Ideal;940
Pear;0.53;K;IF;Ideal;940
Heart;0.46;G;VS1;Ideal;940
Cushion;0.50;G;VS2;Ideal;940
Pear;0.56;G;SI1;Ideal;940
Heart;0.50;I;VS2;Excellent;940
Cushion;0.54;E;SI1;Excellent;940
Cushion;0.51;G;VS2;Ideal;940
Pear;0.40;E;VVS1;Ideal;940
Cushion;0.53;H;VS2;Ideal;940
Emerald;0.40;D;IF;Ideal;941
Emerald;0.50;H;SI1;Ideal;941
Emerald;0.50;I;VS1;Ideal;941
Emerald;0.56;H;VS2;Ideal;941
Emerald;0.50;J;VS1;Ideal;941
Pear;0.50;D;SI1;Excellent;941
Emerald;0.50;G;SI1;Ideal;941
Emerald;0.43;E;VS1;Ideal;941
Emerald;0.56;H;VS2;Ideal;941
Cushion;0.60;F;SI1;Excellent;941
Cushion;0.53;F;VS1;Ideal;941
Pear;0.50;H;VS2;Ideal;941
Oval;0.50;I;VS2;Excellent;941
Emerald;0.40;D;VS1;Ideal;941
Cushion;0.50;H;VVS1;Ideal;941
Oval;0.51;I;VS2;Ideal;941
Pear;0.57;J;VS1;Ideal;941
Emerald;0.50;I;VS1;Ideal;941
Oval;0.40;E;IF;Ideal;941
Heart;0.50;E;SI1;Excellent;941
Oval;0.58;H;SI1;Ideal;941
Princess;0.40;F;VS1;Ideal;941
Emerald;0.50;G;SI1;Ideal;941
Heart;0.50;J;VVS1;Ideal;941
Radiant;0.45;G;VVS1;Ideal;941
Emerald;0.62;I;SI1;Ideal;941
Pear;0.51;E;SI2;Ideal;941
Princess;0.50;G;SI1;Ideal;941
Emerald;0.50;J;VVS2;Ideal;941
Heart;0.46;G;VVS2;Ideal;942
Princess;0.50;H;VS2;Ideal;942
Heart;0.47;F;VS2;Ideal;942
Heart;0.42;F;VS1;Ideal;942
Emerald;0.50;E;SI1;Excellent;942
Emerald;0.50;E;SI1;Excellent;942
Heart;0.50;F;SI2;Ideal;942
Pear;0.45;D;VS2;Ideal;942
Oval;0.50;F;SI2;Ideal;942
Emerald;0.50;I;VS2;Ideal;942
Emerald;0.60;J;SI1;Ideal;942
Emerald;0.50;I;VS2;Excellent;942
Emerald;0.41;E;VVS1;Ideal;942
Emerald;0.61;K;VS2;Ideal;942
Heart;0.46;D;VVS2;Excellent;942
Heart;0.46;F;VS2;Ideal;944
Heart;0.40;D;VVS1;Ideal;944
Heart;0.43;G;VVS1;Ideal;944
Pear;0.41;D;VS2;Ideal;944
Emerald;0.50;E;SI2;Ideal;944
Emerald;0.50;G;VVS2;Ideal;944
Heart;0.50;H;SI1;Ideal;944
Cushion;0.51;H;VS1;Ideal;944
Pear;0.50;I;VS2;Ideal;944
Princess;0.50;H;SI1;Excellent;944
Emerald;0.50;G;SI1;Ideal;944
Heart;0.50;E;VS2;Ideal;944
Princess;0.52;J;VS1;Ideal;944
Princess;0.53;H;SI1;Ideal;944
Emerald;0.40;E;VVS1;Ideal;944
Pear;0.50;E;SI1;Excellent;944
Cushion;0.51;G;SI1;Excellent;944
Cushion;0.60;J;VS1;Very Good;944
Emerald;0.40;D;VVS1;Ideal;944
Princess;0.52;E;SI2;Ideal;944
Marquise;0.53;F;SI1;Ideal;944
Radiant;0.40;E;VVS1;Ideal;944
Pear;0.52;H;VS1;Excellent;944
Cushion;0.50;D;SI1;Ideal;944
Oval;0.50;I;VS1;Ideal;944
Cushion;0.60;J;VS1;Very Good;944
Emerald;0.50;G;SI1;Ideal;944
Emerald;0.50;I;VVS2;Ideal;945
Heart;0.41;D;VVS2;Ideal;945
Cushion;0.50;G;VS2;Excellent;945
Cushion;0.50;G;VS2;Excellent;945
Emerald;0.50;E;SI1;Excellent;945
Pear;0.50;I;VS1;Ideal;945
Emerald;0.50;E;SI1;Very Good;945
Princess;0.52;E;SI2;Ideal;945
Emerald;0.50;F;SI1;Excellent;945
Oval;0.50;I;VS2;Excellent;945
Cushion;0.50;H;VVS1;Ideal;945
Emerald;0.46;F;VS2;Ideal;945
Emerald;0.50;D;SI1;Ideal;945
Heart;0.40;G;VVS1;Ideal;945
Heart;0.50;G;SI1;Ideal;945
Emerald;0.50;H;VVS1;Ideal;945
Cushion;0.51;F;VS1;Excellent;945
Radiant;0.47;H;VVS2;Very Good;945
Heart;0.46;F;VS2;Excellent;946
Princess;0.50;I;VS1;Ideal;946
Pear;0.61;J;SI1;Ideal;946
Oval;0.50;G;SI1;Ideal;946
Cushion;0.50;G;VS2;Excellent;946
Marquise;0.50;D;SI1;Ideal;946
Emerald;0.51;I;IF;Ideal;946
Oval;0.50;F;SI2;Ideal;946
Emerald;0.51;I;IF;Ideal;946
Princess;0.50;H;SI1;Ideal;946
Pear;0.50;F;SI2;Ideal;946
Heart;0.40;E;VS1;Ideal;946
Emerald;0.41;D;VVS2;Ideal;946
Heart;0.40;D;VS1;Ideal;946
Cushion;0.50;G;VS1;Excellent;946
Princess;0.50;F;SI2;Ideal;946
Emerald;0.40;F;VVS1;Ideal;946
Heart;0.40;F;VVS1;Ideal;946
Cushion;0.50;H;IF;Ideal;946
Pear;0.50;G;SI1;Ideal;946
Emerald;0.41;D;VVS2;Ideal;946
Heart;0.40;F;VVS1;Ideal;946
Pear;0.50;E;SI2;Excellent;946
Heart;0.41;D;VS1;Ideal;946
Cushion;0.50;E;VS1;Ideal;946
Emerald;0.60;K;VVS1;Ideal;946
Heart;0.50;F;SI1;Ideal;946
Princess;0.53;H;SI1;Excellent;946
Emerald;0.50;F;SI1;Ideal;946
Princess;0.50;I;VS1;Good;946
Pear;0.57;I;VS1;Excellent;947
Emerald;0.50;H;VS2;Ideal;947
Pear;0.60;J;VS2;Ideal;947
Heart;0.40;D;VVS2;Ideal;947
Heart;0.46;F;VS2;Ideal;947
Heart;0.41;I;VVS1;Ideal;947
Heart;0.50;H;SI1;Ideal;947
Oval;0.40;D;VS2;Ideal;947
Princess;0.54;I;SI1;Ideal;947
Heart;0.50;D;SI2;Excellent;947
Emerald;0.50;E;SI1;Excellent;947
Oval;0.44;E;VS1;Ideal;947
Cushion;0.57;J;VVS1;Excellent;947
Cushion;0.51;G;VS2;Excellent;947
Emerald;0.53;J;VVS1;Ideal;947
Marquise;0.32;D;VVS1;Ideal;947
Emerald;0.53;J;IF;Ideal;947
Princess;0.41;D;VS2;Ideal;947
Cushion;0.51;G;VS2;Excellent;947
Emerald;0.50;D;VS1;Ideal;947
Emerald;0.50;J;IF;Ideal;947
Cushion;0.51;G;VVS2;Ideal;947
Emerald;0.46;F;VS2;Ideal;947
Heart;0.40;D;VS1;Ideal;947
Marquise;0.51;E;SI1;Ideal;948
Cushion;0.50;I;VS2;Ideal;948
Emerald;0.47;E;VVS1;Ideal;948
Cushion;0.50;D;VS2;Excellent;948
Princess;0.50;E;SI1;Very Good;948
Pear;0.33;D;IF;Ideal;948
Emerald;0.41;F;VVS2;Ideal;948
Cushion;0.51;D;VS2;Excellent;948
Oval;0.40;D;VS2;Ideal;948
Pear;0.70;K;SI1;Ideal;948
Pear;0.50;D;SI2;Ideal;948
Emerald;0.63;J;SI1;Ideal;948
Cushion;0.52;E;SI1;Ideal;948
Cushion;0.52;H;VS2;Ideal;948
Cushion;0.53;H;VS1;Ideal;948
Cushion;0.58;E;VS1;Excellent;948
Emerald;0.41;E;VVS1;Ideal;948
Heart;0.40;D;VVS2;Ideal;948
Princess;0.50;G;SI1;Ideal;948
Emerald;0.50;G;VS2;Excellent;948
Heart;0.41;E;VVS2;Ideal;948
Emerald;0.50;D;SI1;Ideal;948
Princess;0.50;E;SI1;Excellent;948
Emerald;0.50;D;SI1;Ideal;948
Princess;0.50;G;SI1;Good;948
Cushion;0.52;D;SI1;Excellent;948
Princess;0.51;I;SI1;Ideal;948
Pear;0.60;K;VS2;Ideal;949
Heart;0.40;E;VVS2;Ideal;949
Emerald;0.43;D;VVS1;Ideal;949
Cushion;0.53;H;VVS2;Excellent;949
Pear;0.50;D;SI2;Excellent;949
Pear;0.50;D;SI2;Ideal;949
Heart;0.40;D;VS1;Excellent;949
Heart;0.40;G;VVS1;Ideal;949
Oval;0.50;D;SI2;Excellent;949
Cushion;0.50;H;IF;Excellent;949
Heart;0.40;D;VS1;Ideal;949
Emerald;0.50;I;VVS2;Ideal;949
Cushion;0.51;G;VVS2;Excellent;949
Cushion;0.53;D;SI1;Excellent;949
Emerald;0.50;E;SI1;Ideal;949
Cushion;0.53;H;VVS2;Excellent;949
Cushion;0.50;G;VS1;Ideal;949
Emerald;0.50;G;SI1;Ideal;949
Cushion;0.50;H;VVS2;Excellent;949
Emerald;0.50;E;SI1;Ideal;949
Oval;0.50;D;SI2;Ideal;949
Heart;0.42;F;VVS2;Ideal;949
Emerald;0.49;H;VS1;Ideal;949
Cushion;0.51;E;VS2;Excellent;949
Oval;0.50;J;VS1;Ideal;949
Princess;0.56;I;SI1;Excellent;949
Heart;0.46;E;VS1;Ideal;950
Heart;0.35;D;IF;Ideal;950
Emerald;0.56;H;VS2;Ideal;950
Pear;0.52;J;VVS1;Excellent;950
Emerald;0.44;F;VS2;Good;950
Cushion;0.55;G;SI1;Ideal;950
Princess;0.50;F;SI1;Ideal;950
Princess;0.50;H;VS2;Ideal;950
Cushion;0.53;G;VS2;Ideal;950
Emerald;0.57;G;VS2;Ideal;950
Oval;0.51;J;VVS1;Ideal;950
Pear;0.51;E;SI2;Ideal;950
Cushion;0.50;E;VVS2;Excellent;950
Emerald;0.54;G;SI1;Ideal;950
Emerald;0.50;G;VS1;Excellent;950
Heart;0.41;F;VS2;Ideal;950
Princess;0.50;F;SI1;Excellent;950
Emerald;0.59;G;SI2;Ideal;950
Cushion;0.50;G;VVS1;Ideal;950
Princess;0.50;F;SI1;Ideal;950
Oval;0.40;D;VVS1;Excellent;950
Emerald;0.58;J;IF;Ideal;950
Emerald;0.50;E;SI1;Excellent;950
Emerald;0.51;H;VVS2;Ideal;950
Pear;0.40;E;VS1;Ideal;950
Radiant;0.50;H;SI1;Very Good;950
Heart;0.40;E;VVS1;Ideal;950
Heart;0.50;H;VS1;Ideal;950
Emerald;0.50;I;VS1;Ideal;950
Princess;0.61;I;SI2;Ideal;950
Cushion;0.50;F;VS2;Ideal;950
Cushion;0.51;F;VS2;Excellent;950
Heart;0.37;D;VVS1;Ideal;950
Heart;0.50;I;VS2;Ideal;950
Marquise;0.50;J;VS1;Ideal;950
Oval;0.40;D;VS1;Ideal;951
Heart;0.43;G;IF;Ideal;951
Heart;0.50;E;SI1;Ideal;951
Oval;0.50;G;SI2;Ideal;951
Princess;0.50;F;SI1;Ideal;951
Heart;0.46;F;VVS2;Ideal;951
Emerald;0.51;G;SI1;Ideal;951
Emerald;0.50;F;SI1;Ideal;951
Emerald;0.43;G;IF;Ideal;951
Heart;0.50;F;SI1;Excellent;951
Emerald;0.51;J;VVS1;Ideal;951
Emerald;0.50;G;SI1;Ideal;951
Emerald;0.40;F;VVS1;Ideal;951
Emerald;0.41;E;VVS1;Ideal;951
Emerald;0.51;D;SI1;Excellent;951
Pear;0.50;G;SI2;Ideal;951
Pear;0.50;F;SI2;Ideal;951
Heart;0.46;F;VS2;Ideal;951
Pear;0.50;G;SI2;Ideal;951
Emerald;0.50;F;VS1;Ideal;951
Oval;0.50;G;SI1;Excellent;951
Oval;0.40;F;VS2;Ideal;951
Emerald;0.51;H;VS2;Ideal;951
Princess;0.46;E;VS1;Ideal;951
Emerald;0.50;E;SI1;Ideal;951
Emerald;0.50;I;VVS1;Ideal;951
Princess;0.50;F;SI1;Very Good;951
Oval;0.46;E;VS1;Ideal;951
